archivo,fila,columna,tau,error_rms,error_relativo
IMG_20260425_184935.jpg,3,2,0.13142365430830455,0.009091717449051174,0.1296660330912048
IMG_20260425_184935.jpg,3,3,0.10236485671166033,0.016612165868631852,0.17059539086584666
IMG_20260425_184935.jpg,3,4,0.13052888170832533,0.0100398724573483,0.12417151980748813
IMG_20260425_184935.jpg,3,5,0.15204147016134453,0.0089484165939766,0.12764731737150237
IMG_20260425_184935.jpg,3,6,0.18567227763558955,0.008372730592692643,0.14371054988068852
IMG_20260425_184935.jpg,3,7,0.1860815212829469,0.007216812843879119,0.12362537688411696
IMG_20260425_184935.jpg,4,0,0.072580003542813,0.026398593007242725,0.17657457684624642
IMG_20260425_184935.jpg,4,1,0.06629426836472238,0.03950301999353391,0.23030253673077256
IMG_20260425_184935.jpg,4,2,0.08727754111227067,0.028238433644758202,0.21685227061937598
IMG_20260425_184935.jpg,4,3,0.1203241667753673,0.020321548733087613,0.2293275819736131
IMG_20260425_184935.jpg,4,4,0.22881571667280137,0.010902793415709969,0.27060634801214073
IMG_20260425_184935.jpg,4,5,0.24110281741808884,0.005393016148152389,0.1548150596794963
IMG_20260425_184935.jpg,4,6,0.13956383921721893,0.006401717178620321,0.09427975226105911
IMG_20260425_184935.jpg,4,7,0.14895559445759607,0.007457350627040919,0.11292562795764549
IMG_20260425_184935.jpg,5,0,0.059254011375587175,0.036295270509223355,0.19555013424443501
IMG_20260425_184935.jpg,5,1,0.05944551401600299,0.03457682220647299,0.1867635697648945
IMG_20260425_184935.jpg,5,2,0.06572241796130192,0.03554573048658675,0.20860143155950625
IMG_20260425_184935.jpg,5,3,0.07546262095888237,0.0313038406353807,0.20980515540390088
IMG_20260425_184935.jpg,5,4,0.12533373538795786,0.017645358684965202,0.21697364258523874
IMG_20260425_184935.jpg,5,5,0.41033527400023034,0.007643697428118901,0.2954085512185557
IMG_20260425_184935.jpg,5,6,0.8237538109846626,0.00498647247117375,0.5443027695464256
IMG_20260425_184935.jpg,5,7,0.061044207204782076,0.009637753610909882,0.06927205062597118
IMG_20260425_184935.jpg,6,0,0.05769438868542165,0.04333057724171873,0.2189798819475187
IMG_20260425_184935.jpg,6,1,0.05434395605402812,0.02953863757521218,0.15552861259748774
IMG_20260425_184935.jpg,6,2,0.06120619772210579,0.028896613243119245,0.17111013860270943
IMG_20260425_184935.jpg,6,3,0.0723735283808159,0.029732950607321597,0.19683244032844832
IMG_20260425_184935.jpg,6,4,0.07900529848923592,0.019782377519014134,0.14703292389328607
IMG_20260425_184935.jpg,6,5,0.48940003314803215,0.006714253448595039,0.31430094179270507
IMG_20260425_184935.jpg,6,6,0.23212251585218524,0.0065815594976665675,0.14800794315792798
IMG_20260425_184935.jpg,6,7,0.13924855539175976,0.006810108903341452,0.09410743043989846
IMG_20260425_184935.jpg,7,0,0.05271998090493584,0.02429059243904372,0.11665161634585072
IMG_20260425_184935.jpg,7,1,0.0533433334554941,0.027782586705115634,0.13519069938546002
IMG_20260425_184935.jpg,7,2,0.06433390591404695,0.025276418806244375,0.15405059642213018
IMG_20260425_184935.jpg,7,3,0.06063132691839507,0.029797722572089288,0.17065839893355073
IMG_20260425_184935.jpg,7,4,0.06425987841545155,0.010773897348720024,0.06389015379403602
IMG_20260425_184935.jpg,7,5,0.0756181392845795,0.013040504591396078,0.09010740211301976
IMG_20260425_184935.jpg,7,6,0.07496681061685544,0.012054253256892052,0.08416183466291231
IMG_20260425_184935.jpg,7,7,0.12373517718281772,0.01621393431307957,0.17837145352489123
IMG_20260425_185359.jpg,0,0,0.13857993994181236,0.006355990792024405,0.10354407256906867
IMG_20260425_185359.jpg,0,1,0.22662172919418597,0.005944182340204585,0.15778781656650478
IMG_20260425_185359.jpg,0,2,0.17093873715476154,0.006423657996250984,0.1294186006649928
IMG_20260425_185359.jpg,0,3,0.22386111836649916,0.0064293123252181245,0.16875554336416745
IMG_20260425_185359.jpg,0,4,0.06936521960548377,0.01695913727537436,0.13312084192331206
IMG_20260425_185359.jpg,0,5,0.03329016957550004,0.016419095778000097,0.06407839411719309
IMG_20260425_185359.jpg,0,6,0.14893051937812707,0.011710717620092768,0.19352130072818563
IMG_20260425_185359.jpg,0,7,0.13735924703896094,0.008704199407769878,0.1373101392096901
IMG_20260425_185359.jpg,1,0,1.0790814196529968,0.006047824601019688,0.8164203843846639
IMG_20260425_185359.jpg,1,1,1.0066906394915063,0.006070271810253958,0.7320917512545437
IMG_20260425_185359.jpg,1,2,0.850104437171425,0.0058952266754083585,0.6119217976001439
IMG_20260425_185359.jpg,1,3,0.8077083401896794,0.00599656164991085,0.5760865805358365
IMG_20260425_185359.jpg,1,4,0.11405024468123579,0.008504307665567952,0.11186551468919079
IMG_20260425_185359.jpg,1,5,0.10937817559407698,0.013254438391777304,0.1645231794546913
IMG_20260425_185359.jpg,1,6,0.10339473712459489,0.009654803199521573,0.11365906245598716
IMG_20260425_185359.jpg,1,7,0.11106406370896654,0.010836241237101777,0.13722481717800689
IMG_20260425_185359.jpg,2,0,1.0677065392515122,0.00589844890552645,0.788100618664376
IMG_20260425_185359.jpg,2,1,1.0824432018986523,0.005878551197085897,0.7829640252923498
IMG_20260425_185359.jpg,2,2,0.9374462163758344,0.006032663473300293,0.6944013451556755
IMG_20260425_185359.jpg,2,3,0.880192009920129,0.005930219680559127,0.6380512219576581
IMG_20260425_185359.jpg,2,4,0.7356818280482817,0.005987640153757181,0.5215847119658075
IMG_20260425_185359.jpg,2,5,0.6539936972865804,0.006049368184322403,0.4649399577735258
IMG_20260425_185359.jpg,2,6,0.7323207659515963,0.006098639310893559,0.5316482299175562
IMG_20260425_185359.jpg,2,7,1.0015958205811488,0.006021653104059928,0.7381196707453798
IMG_20260425_185359.jpg,3,0,0.30289351736246445,0.005411652922557383,0.20536228195132827
IMG_20260425_185359.jpg,3,1,0.31984940411650353,0.005138309401889423,0.20505473213699263
IMG_20260425_185359.jpg,3,2,0.4941788347762395,0.005801527112756297,0.3449194823671494
IMG_20260425_185359.jpg,3,3,0.8003709861123608,0.005718575734386553,0.5582748932070885
IMG_20260425_185359.jpg,3,4,0.8382687170866145,0.005759480937119378,0.586943147198439
IMG_20260425_185359.jpg,3,5,0.7012158195205414,0.005712419720089688,0.4802704094556369
IMG_20260425_185359.jpg,3,6,0.5699057297273771,0.005880411984206828,0.4041388573147292
IMG_20260425_185359.jpg,3,7,0.7217895952823699,0.006012490603174914,0.5156877301065571
IMG_20260425_185359.jpg,4,0,1.7112840774899964,0.003716044231052718,2.995370158980778
IMG_20260425_185359.jpg,4,1,1.6645746606745877,0.0041516844965397495,3.0564677801496454
IMG_20260425_185359.jpg,4,2,0.6902628708460675,0.0039659654694113805,0.4379300656739255
IMG_20260425_185359.jpg,4,3,0.29682877627202514,0.004304898023649342,0.19219219794643325
IMG_20260425_185359.jpg,4,4,0.26748207005823066,0.005045660862085844,0.18599825297245842
IMG_20260425_185359.jpg,4,5,0.30544434878802196,0.005219857657077025,0.20690128212162306
IMG_20260425_185359.jpg,4,6,0.30792362736703116,0.005375637480110585,0.21134885184832622
IMG_20260425_185359.jpg,4,7,0.3251029758136101,0.005340209940559215,0.2174323993293442
IMG_20260425_185359.jpg,5,0,1.6930097815747065,0.0039493456563922,2.878151482113665
IMG_20260425_185359.jpg,5,1,1.6998573007279187,0.004217530119664312,2.967859355250421
IMG_20260425_185359.jpg,5,2,1.526305010345949,0.0037445106394494504,1.787179090400737
IMG_20260425_185359.jpg,5,3,1.6875839613227257,0.0038650306766824473,2.8246754267967344
IMG_20260425_185359.jpg,5,4,1.6752632511517889,0.0037504577818327934,2.751698224860378
IMG_20260425_185359.jpg,5,5,1.6419361071032847,0.0038490622437537918,3.157671211228047
IMG_20260425_185359.jpg,5,6,1.6936055352613535,0.003765152091423879,3.133372139163612
IMG_20260425_185359.jpg,5,7,1.692809538557299,0.00374322097522365,3.42798198268729
IMG_20260425_185359.jpg,6,0,1.6455492274089643,0.00445365507108678,2.4676091754711784
IMG_20260425_185359.jpg,6,1,1.6575990934615603,0.00434845533429019,2.287114059646075
IMG_20260425_185359.jpg,6,2,1.5463499976123112,0.0039787501227366105,1.7887721067390525
IMG_20260425_185359.jpg,6,3,1.6638841780949978,0.004276917466584002,2.702132898077916
IMG_20260425_185359.jpg,6,4,1.6449220885714813,0.004176538560671395,2.8378039565687194
IMG_20260425_185359.jpg,6,5,1.6148769296201548,0.0042264632825521516,2.896550664340614
IMG_20260425_185359.jpg,6,6,1.6848678879900916,0.004103895300206774,2.7801515329055206
